SubmissionDate,starttime,endtime,duration,consent,age,gender,degree,international,closure_cam,closure_res,closure_date,location,location_perm,living,vulnerable,quarantine,experienced,dis_label,dis_healthcare,dis_internet,dis_academic,dis_social,dis_psych,change,fin_exp,fin_inc,fin_aid,fin_debt,exp_type,exp_more,exp_less,inc_more,inc_less,aid_more,aid_less,debt_more,debt_less,inst_response,anx_label,anx_nextmo,anx_summer,anx_longterm,inst_country,country,consent_l,gender_l,degree_l,international_l,closure_cam_l,closure_res_l,location_l,location_perm_l,living_l,vulnerable_l,quarantine_l,dis_healthcare_l,dis_internet_l,dis_academic_l,dis_social_l,dis_psych_l,fin_exp_l,fin_inc_l,fin_aid_l,fin_debt_l,inst_response_l,anx_nextmo_l,anx_summer_l,anx_longterm_l,inst_country_l,country_l,starttime_l,endtime_l,duration_m,duration_m_bins,KEY
2020-03-26T21:50:46.414Z,2020-03-26T21:16:42.170Z,2020-03-26T21:50:46.373Z,2044,1,32,2,3,1,1,0,2020-03-12,2,1,1,0,0,,,3,3,1,1,3,,1,1,2,2,,,300,,1500,,,,,2,,2,1,3,0,0,Yes,Man,Doctoral,International,Yes,No,Same City,Yes,Roommates,No,No,Same,Same,Much Worse,Much Worse,Same,Decreased,Decreased,No Change,No Change,Timely,Worse,Much Worse,Same,United States of America (USA),United States of America (USA),43916.8866,,34.06666667,>= 30min,uuid:29b419d1-e230-41df-a9f9-cec718383f49
2020-03-26T21:52:09.987Z,2020-03-26T21:06:19.634Z,2020-03-26T21:52:09.934Z,2750,1,23,2,2,0,1,1,2020-03-16,3,1,2,0,0,4,,3,3,2,2,3,,1,2,2,2,,,500,,,,,,,2,,3,3,3,0,0,Yes,Man,Masters,Domestic,Yes,Yes,Different City,Yes,Family,No,No,Same,Same,Worse,Worse,Same,Decreased,No Change,No Change,No Change,Timely,Same,Same,Same,United States of America (USA),United States of America (USA),43916.87939,,45.83333333,>= 30min,uuid:1dc28bb8-fbaa-4d6f-8dd5-8a48a36cd636
2020-03-26T21:52:48.528Z,2020-03-26T21:41:05.788Z,2020-03-26T21:52:48.498Z,703,1,30,1,2,0,1,1,2020-03-13,2,1,1,0,0,,,1,3,3,2,2,,1,2,2,2,,,250,,,,,,,2,,1,2,3,0,0,Yes,Woman,Masters,Domestic,Yes,Yes,Same City,Yes,Roommates,No,No,Much Worse,Same,Same,Worse,Worse,Decreased,No Change,No Change,No Change,Timely,Much Worse,Worse,Same,United States of America (USA),United States of America (USA),43916.90353,,11.71666667,< 20min,uuid:c5607518-79c1-414b-8bd1-a147350483f7
2020-03-26T21:58:49.524Z,2020-03-26T21:26:24.233Z,2020-03-26T21:58:49.474Z,1945,1,29,1,3,0,1,0,2020-03-16,4,1,1,0,0,1 3,,3,3,3,2,2,,3,2,2,2,2 5,200,,,,,,,,2,,2,2,3,33,0,Yes,Woman,Doctoral,Domestic,Yes,No,Different Country,Yes,Roommates,No,No,Same,Same,Same,Worse,Worse,Increased,No Change,No Change,No Change,Timely,Worse,Worse,Same,Canada,United States of America (USA),43916.89333,,32.41666667,>= 30min,uuid:b01ac05f-a731-4106-a31a-98b406b30bbf
2020-03-26T22:02:09.992Z,2020-03-26T20:43:37.337Z,2020-03-26T22:02:09.966Z,4713,1,27,1,3,0,1,0,2020-03-20,2,1,2,0,0,2,,2,2,1,1,3,,2,2,2,2,,,,,,,,,,3,,1,2,0,0,0,Yes,Woman,Doctoral,Domestic,Yes,No,Same City,Yes,Family,No,No,Worse,Worse,Much Worse,Much Worse,Same,No Change,No Change,No Change,No Change,Too Slow,Much Worse,Worse,N/A,United States of America (USA),United States of America (USA),43916.86362,,78.55,>= 30min,uuid:248c2a7f-f456-4208-888f-dfb45429944a
2020-03-26T22:13:01.595Z,2020-03-26T22:06:12.891Z,2020-03-26T22:13:01.567Z,409,1,25,1,3,1,1,0,2020-03-21,2,1,1,0,0,,,0,3,2,2,2,,2,2,2,2,,,,,,,,,,3,,3,2,3,0,0,Yes,Woman,Doctoral,International,Yes,No,Same City,Yes,Roommates,No,No,N/A,Same,Worse,Worse,Worse,No Change,No Change,No Change,No Change,Too Slow,Same,Worse,Same,United States of America (USA),United States of America (USA),43916.92097,,6.816666667,< 10min,uuid:f70dd62a-f5f1-424a-a03a-b29f07faa35b
2020-03-26T22:15:34.625Z,2020-03-26T22:08:14.799Z,2020-03-26T22:15:34.600Z,440,1,29,2,2,1,1,1,2020-03-13,3,0,1,0,0,,,2,3,3,1,3,,1,1,1,3,,,200,,2000,,2000,4000,,2,,3,3,3,0,0,Yes,Man,Masters,International,Yes,Yes,Different City,No,Roommates,No,No,Worse,Same,Same,Much Worse,Same,Decreased,Decreased,Decreased,Increased,Timely,Same,Same,Same,United States of America (USA),United States of America (USA),43916.92238,,7.333333333,< 10min,uuid:4d7a417a-c572-44f1-9d8d-f72f1bab7c02
2020-03-26T22:20:12.082Z,2020-03-26T22:15:21.355Z,2020-03-26T22:20:12.053Z,291,1,28,2,3,1,1,0,2020-03-12,2,1,1,0,0,,,0,3,3,2,2,,2,2,,2,,,,,,,,,,2,,3,3,3,0,0,Yes,Man,Doctoral,International,Yes,No,Same City,Yes,Roommates,No,No,N/A,Same,Same,Worse,Worse,No Change,No Change,,No Change,Timely,Same,Same,Same,United States of America (USA),United States of America (USA),43916.92733,,4.85,< 05min,uuid:252e48c4-e084-44e7-97e7-33d22ace0c4f
2020-03-26T22:35:03.224Z,2020-03-26T22:30:40.993Z,2020-03-26T22:35:03.195Z,262,1,,2,3,0,1,1,2020-03-16,3,0,2,1,0,3 4,,2,2,1,1,1,,3,2,2,2,2 5,1000,,,,,,,,2,,1,2,2,,,Yes,Man,Doctoral,Domestic,Yes,Yes,Different City,No,Family,Yes,No,Worse,Worse,Much Worse,Much Worse,Much Worse,Increased,No Change,No Change,No Change,Timely,Much Worse,Worse,Worse,United States of America (USA),United States of America (USA),43916.93796,,4.366666667,< 05min,uuid:35c03d33-83ea-4562-848c-93e88cb89a5c
2020-03-26T22:38:42.676Z,2020-03-26T22:32:29.832Z,2020-03-26T22:38:42.647Z,373,1,24,1,2,0,1,1,2020-03-13,2,1,1,0,0,3 4,,3,2,3,2,2,,2,2,2,2,,,,,,,,,,2,,2,2,3,0,0,Yes,Woman,Masters,Domestic,Yes,Yes,Same City,Yes,Roommates,No,No,Same,Worse,Same,Worse,Worse,No Change,No Change,No Change,No Change,Timely,Worse,Worse,Same,United States of America (USA),United States of America (USA),43916.93922,,6.216666667,< 10min,uuid:192910ca-9077-4458-8230-cfa24ab19627
